,,,,,,,,,,,,,,,,,,능력치,,,,,,,,,,,,,,,,,,전법,,,,,,개성,,,,,진형,,,,,,,,,,
241,오의,85,남,165,185,0,237,0,69,,,진류,진류,미등장,없음,0,,82,72,69,70,79,건강,왕도,군제개혁,4,위엄남,위엄남,0,,,오광,,,2,제사,연노,격려,저지,,,산전,태연,독려,보좌,,,,1,1,1,1,,,,,
242,구안,623,남,214,233,0,264,0,73,,,강주,강주,미등장,없음,0,,65,68,48,52,45,건강,할거,성벽확장,2,보통남,보통남,0,,,구안,,,1,제사,경파,매성,,,,축성,동요,,,,,,,,,1,,,,,
243,황완,827,남,141,184,184,192,1,95,하진,하진,낙양,낙양,일반,시중,99,,40,34,71,70,65,건강,예교,세출개선,3,정중남,정중남,0,,,황완,,,1,저지,진정,,,,,명성,능리,여망,,,,,,,1,,,,,,
244,황역,1146,남,175,194,0,208,1,45,,,강하,강하,미등장,없음,0,,54,47,55,44,50,건강,할거,안행강화,1,보통남,보통남,0,,,황조,황조,,2,화시,구축,,,,,조타,소심,,,,,,1,,,,,,,,
245,경기,868,남,182,201,0,218,1,91,,,허창,허창,미등장,없음,0,,36,25,60,69,55,건강,왕도,정령철저,2,보통남,보통남,0,,,경기,,,1,혼란,매성,,,,,법률,,,,,,,,,1,,,,,,
246,후음,816,남,184,205,0,219,1,53,,,완,완,미등장,없음,0,,69,67,43,28,45,건강,할거,침략황폐,2,호걸남,호걸남,0,,,후음,,,1,경파,교란,,,,,공명,단려,,,,,1,,,,,,,,,
247,황개,19,남,154,184,184,218,0,127,손견,손견,하비,하비,일반,분무교위,120,,80,83,68,65,81,건강,패도,화계연구,4,호걸남,호걸남,49,,,황개,,,1,고육지계,화시,연노,구축,강습,시람,원시,화공,조타,위무,강건,1,,1,1,,,,,,,
248,고간,325,남,168,187,0,206,1,101,,,진류,진류,미등장,없음,0,,74,59,53,60,66,건강,할거,공법개혁,3,보통남,보통남,0,,,고간,,,2,연노,철벽,견제,,,,견뢰,동원,,,,,,,1,,1,,,,1,
249,황월영,665,여,186,208,0,235,0,75,,,양양,양양,미등장,없음,0,,37,28,88,77,70,건강,왕도,병기강화,4,현명녀,현명녀,0,,,황월영,,,1,계략이기,연노,치료,정란,충차,투석,재원,석병,발명,진화,,,,1,,,,,1,1,1,
250,황권,156,남,167,186,0,240,0,56,,,자동,자동,미등장,없음,0,,76,59,85,79,80,건강,왕도,시설개발,4,위엄남,위엄남,0,,,황권,,,1,연노,업화,진정,충차,시람,,태연,규율,간파,신중,능리,,,1,,1,,,,1,,
251,황호,271,남,226,245,0,263,1,50,,,성도,성도,미등장,없음,0,,1,1,30,10,1,건강,명리,묵수연구,1,교활남,교활남,0,,,황호,,,1,,,,,,,징세,소심,탐욕,,,,,,1,,,,,,,
252,후씨,1147,여,158,184,184,199,1,65,공손찬,공손찬,북평,북평,일반,없음,150,,23,22,47,54,60,건강,예교,방원강화,2,보통녀,보통녀,0,공손찬,,후씨,,,1,,,,,,,응원,부호,절감,,,,,,1,,,,,,,
253,고유,426,남,174,193,0,263,0,101,,,진류,진류,미등장,없음,0,,56,44,72,79,76,건강,왕도,정령철저,3,정중남,정중남,0,,,고간,,,1,저지,치료,,,,,법률,감수,,,,,,,1,1,,,,,,
254,고순,268,남,162,186,0,198,1,144,,,진양,진양,미등장,없음,0,,88,86,60,46,69,건강,할거,병기강화,4,용장남,용장남,77,,,고순,,,1,함진영,돌격,교란,매성,충차,,붕벽,담력,절약,강건,소욕,1,1,,,,,1,,1,,
255,고상,327,남,194,213,0,252,0,69,,,자동,자동,미등장,없음,0,,68,68,51,43,55,건강,왕도,안행강화,2,보통남,보통남,0,,,고상,,,1,제사,업화,정란,,,,운반,,,,,,,1,,,,,1,,,
256,고승,525,남,145,184,184,184,1,7,장각,장각,복양,복양,일반,방두좨주,100,,67,73,40,21,23,건강,아도,장사강화,3,난폭남,난폭남,0,,,고승,,,1,화시,경파,,,,,적도,저돌,,,,,,,,,1,,,,,
257,황숭,428,남,208,222,0,263,1,56,,,자동,자동,미등장,없음,0,,68,64,72,69,65,건강,왕도,방원강화,3,정중남,정중남,0,,,황권,황권,,2,연노,격려,구축,,,,지리,,,,,,,,1,1,,,,,,
258,후성,328,남,158,184,184,199,0,147,정원,정원,진양,진양,일반,건무교위,100,,75,74,67,55,60,건강,할거,학익강화,3,용장남,용장남,0,,,후성,,,1,돌격,철벽,저지,,,,장구,독려,,,,1,1,,,1,,,,,,
259,후선,443,남,175,194,0,228,0,48,,,천수,천수,미등장,없음,0,,62,66,35,55,52,건강,할거,장사강화,2,보통남,보통남,0,,,후선,,,1,분전,고무,,,,,소침,경망,,,,,,,,,1,,,,,
260,황조,179,남,148,184,0,208,1,45,,,강하,강하,미발견,없음,0,,76,67,55,45,32,건강,아도,묵수연구,3,거만남,거만남,0,,,황조,,,1,난사난격,연노,구축,강습,,,견뢰,공명,탐욕,,,,,1,1,,,,,,1,
261,공손월,329,남,160,184,184,191,1,65,공손찬,공손찬,북평,북평,일반,건무교위,120,,73,71,48,53,66,건강,할거,시설개발,3,보통남,보통남,0,,,공손찬,,,1,돌격,격려,저지,,,,불굴,직정,,,,,1,,,1,,,,,,
262,공손연,86,남,205,219,0,238,1,10,,,양평,양평,미등장,없음,0,,66,70,60,42,50,건강,아도,묵수연구,4,거만남,거만남,0,,,공손도,공손강,,3,현조쌍황,업화,매성,시람,,,사역,징세,낭비,오만,탐욕,,,,1,1,1,,,,,
263,공손공,331,남,174,188,0,238,0,142,,,양평,양평,미등장,없음,0,,40,17,69,61,47,건강,예교,정령철저,3,교활남,교활남,0,,,공손도,공손도,,2,혼란,구축,,,,,소심,나약,허약,,,,,,,,1,,,,,
264,공손강,330,남,172,186,0,210,0,142,,,양평,양평,미등장,없음,0,,73,66,65,62,57,건강,할거,지역진흥,3,거만남,거만남,0,,,공손도,공손도,,2,급습,저지,구축,시람,,,봉살,,,,,,,,1,,1,,,,,
265,공손황,1148,남,200,214,0,238,1,142,,,양평,양평,미등장,없음,0,,52,42,64,49,67,건강,예교,정령철저,2,정중남,정중남,0,,,공손도,공손강,,3,진정,,,,,,소욕,소심,,,,,,,1,,,,,,,
266,공손찬,38,남,152,184,184,199,1,65,공손찬,공손찬,북평,북평,군주,없음,250,,84,83,71,46,77,건강,패도,공법개혁,4,위엄남,위엄남,84,후씨,,공손찬,,,1,백마의종,급습,철벽,대갈,매성,,견수,질주,축성,견뢰,소침,,1,1,1,,,1,,,,
267,공손속,509,남,176,190,0,199,1,65,,,북평,북평,미등장,없음,0,,63,68,53,61,64,건강,패도,시설개발,2,보통남,보통남,0,,,공손찬,공손찬,후씨,2,돌격,매성,,,,,동원,,,,,,,,,,1,1,,,,
268,공손도,264,남,154,184,0,204,0,142,,,양평,양평,미발견,없음,0,,67,71,68,63,42,건강,아도,묵수연구,4,거만남,거만남,0,,,공손도,,,1,연노,투석,강습,시람,,,강탈,징세,공명,탐욕,,,,,,1,1,,,,1,
269,공손범,508,남,158,184,184,199,0,65,공손찬,공손찬,북평,북평,일반,분무교위,120,,72,68,63,61,62,건강,할거,성벽확장,3,보통남,보통남,0,,,공손찬,,,1,급습,경파,교란,,,,위무,개수,,,,,1,,,1,,,,,,
270,공주,57,남,151,184,184,194,0,35,하진,노식,업,업,일반,부군종사,99,,26,16,67,78,68,건강,예교,정령철저,3,정중남,정중남,0,,,공주,,,1,진정,,,,,,교화,인맥,,,,,,1,,,,,,,,
271,황충,23,남,148,184,0,222,0,72,,,완,완,미발견,없음,0,,87,93,63,52,74,건강,왕도,안행강화,5,호걸남,호걸남,62,,,황충,,,1,신궁,화시,연노,견제,매성,,확삭,용장,원시,공명,격분,,1,1,,,1,,,,,
272,고정,332,남,188,207,0,251,0,63,,,건녕,건녕,미등장,없음,0,,55,63,43,44,46,건강,할거,삼령오신,2,보통남,보통남,0,,,고정,,,1,견제,,,,,,우유,,,,,,,,,,1,,,,,
273,고당륭,791,남,190,210,0,244,0,27,,,진류,진류,미등장,없음,0,,35,24,76,85,69,건강,예교,병기강화,4,정중남,정중남,0,,,고당륭,,,1,정란,충차,,,,,학자,,,,,,,,,,,,1,1,,
274,고패,333,남,170,189,0,212,1,53,,,자동,자동,미등장,없음,0,,66,65,69,57,52,건강,할거,안행강화,2,보통남,보통남,0,,,고패,,,1,화시,철벽,저지,,,,산전,개수,경솔,,,,,1,,,1,,,,,
275,고번,1149,남,167,186,0,202,1,91,,,업,업,미등장,없음,0,,62,56,34,28,47,건강,명리,수군육성,2,보통남,보통남,0,,,고번,,,1,강습,,,,,,조타,경솔,,,,,,,,,,1,,,,
276,구부,1150,남,195,219,0,252,0,69,,,자동,자동,미등장,없음,0,,74,72,67,53,60,건강,할거,군제개혁,3,보통남,보통남,0,,,구부,,,1,화시,철벽,진정,,,,산전,보좌,모집,,,,,,1,,1,,,,,
277,경무,828,남,154,184,0,191,1,91,,,낙양,낙양,미발견,없음,0,,32,40,61,70,55,건강,왕도,정령철저,3,보통남,보통남,0,,,경무,,,1,대갈,매성,,,,,동지,,,,,,,,,1,,,,,,
278,황보개,451,남,222,241,0,272,0,88,,,안정,안정,미등장,없음,0,,65,55,64,54,58,건강,왕도,추행강화,2,보통남,보통남,0,,,황보개,,,1,,,,,,,모집,,,,,,,,,,,1,,,,
279,황보숭,201,남,132,184,184,195,0,88,하진,노식,진류,진류,태수,안남장군,100,,90,61,73,51,75,건강,패도,시설개발,5,위엄남,위엄남,0,,,황보숭,,,1,오와지변,화시,경파,충차,투석,,독장,붕벽,화공,절약,소욕,,,1,,1,,,,1,1,
280,공융,58,남,153,184,184,208,1,43,하진,하진,낙양,낙양,일반,어사중승,99,,30,5,72,76,65,건강,예교,태학,3,위엄남,위엄남,0,,,공융,,,1,대갈,매성,,,,,시상,명성,문화,인맥,소심,,,,1,,,,,,,
281,고람,239,남,159,184,0,201,1,27,,,남피,남피,미발견,없음,0,,76,82,68,55,62,건강,패도,추행강화,4,보통남,보통남,0,,,고람,,,1,분전,견제,교란,,,,앙양,금강,절약,,,1,1,,,,,1,,,,
282,황란,698,남,200,219,0,264,0,143,,,건안,건안,미등장,없음,0,,60,71,36,25,50,건강,할거,침략황폐,3,난폭남,난폭남,0,,,황란,,,1,대갈,교란,,,,,산월,,,,,,,,,,1,,,,,
283,호연,624,남,247,261,0,301,1,30,,,안정,안정,미등장,없음,0,,74,71,65,46,69,건강,왕도,어린강화,3,용장남,용장남,0,,,호준,호열,,3,분전,대갈,매성,,,,과감,혈로,,,,1,1,,,,,,,,,
284,오연,602,남,234,253,0,280,1,126,,,강릉,강릉,미등장,없음,0,,67,73,44,48,62,건강,할거,수군육성,3,보통남,보통남,0,,,오연,,,1,화시,구축,강습,,,,소심,소침,,,,,,1,1,,,,,,,
285,오거,495,남,151,184,0,211,1,39,,,계,계,미발견,없음,0,,49,62,26,51,55,건강,할거,병참개혁,2,보통남,보통남,0,,,오거,,,1,분전,매성,,,,,공명,,,,,,,,,1,,,,,,
286,오광,1151,남,144,184,184,192,0,65,하진,하진,낙양,낙양,일반,분무교위,100,,64,75,45,53,61,건강,패도,지역순회,3,호걸남,호걸남,0,,,오광,,,1,철벽,진정,,,,,노발,,,,,1,,,1,,,,,,,
287,국연,699,남,160,184,0,219,0,21,,,북해,북해,미발견,없음,0,,51,19,71,86,74,건강,예교,병참개혁,4,정중남,정중남,0,,,국연,,,1,치료,투석,구축,,,,둔전,조달,농정,능리,소욕,1,,,,,,,1,,1,
288,곡리,1152,남,191,205,0,233,0,125,,,오,오,미등장,없음,0,,43,68,33,15,40,건강,왕도,방원강화,2,보통남,보통남,0,,,곡리,,,1,철벽,구축,,,,,혈로,,,,,,,,1,,,,,,,
289,오경,712,남,159,184,184,203,0,126,손견,손견,하비,하비,일반,없음,100,,68,65,54,65,66,건강,명리,수군육성,2,보통남,보통남,0,,,오국태,,,1,제사,구축,,,,,동원,모집,,,,,,,,1,,,,,,
290,오언,472,남,235,253,0,297,0,128,,,건업,건업,미등장,없음,0,,74,72,77,69,66,건강,왕도,수군육성,3,위엄남,위엄남,0,,,오언,,,1,화시,철벽,강습,시람,,,수전,간파,축성,법률,견뢰,,,1,,,1,,1,,,
291,오강,473,남,216,235,0,275,0,133,,,여강,여강,미등장,없음,0,,48,36,65,65,72,건강,명리,종횡술,3,보통남,보통남,0,,,오강,,,1,저지,구축,,,,,개수,,,,,,,,1,,,,,,,
292,오국태,736,여,161,184,184,216,0,125,손견,손견,하비,하비,일반,없음,150,,30,21,67,74,75,건강,왕도,본초학,3,보통녀,보통녀,0,손견,,오국태,,,1,대갈,고무,,,,,응원,인정,,,,,,,,1,,,,,,
293,오찬,461,남,181,206,0,245,1,126,,,시상,시상,미등장,없음,0,,68,41,78,72,67,건강,명리,화계연구,3,책사남,책사남,0,,,오찬,,,1,화시,혼란,투석,구축,,,선동,모집,친월,,,,,1,,,,,,,1,
294,호질,466,남,192,214,0,250,0,29,,,수춘,수춘,미등장,없음,0,,73,46,74,79,72,건강,예교,묵수연구,3,보통남,보통남,0,,,호질,,,1,제사,고무,구축,,,,명성,농정,능리,소욕,,,,,1,1,,,,,,
295,오질,335,남,177,196,0,230,0,19,,,북해,북해,미등장,없음,0,,16,29,64,57,17,건강,명리,시설개발,2,교활남,교활남,0,,,오질,,,1,,,,,,,문화,소심,오만,,,,,,,,,,,1,,
296,호거아,292,남,164,188,0,206,0,148,,,천수,천수,미등장,없음,0,,28,82,41,2,24,건강,아도,방원강화,4,호걸남,호걸남,0,,,호거아,,,1,분전,대갈,교란,,,,맹자,호걸,강탈,공명,,,1,,1,,,,,,,
297,오습,829,남,152,184,0,198,0,9,,,천수,천수,미발견,없음,0,,53,64,42,28,32,건강,패도,공법개혁,2,교활남,교활남,0,,,오습,,,1,철벽,,,,,,저돌,,,,,1,,,,,,,,,,
298,호준,240,남,200,219,0,256,0,20,,,안정,안정,미등장,없음,0,,77,73,52,50,63,건강,왕도,병기강화,3,보통남,보통남,0,,,호준,,,1,분전,격려,충차,,,,소탕,금강,강건,,,1,1,,,,,,,1,,
299,고승,1153,남,210,224,0,246,0,120,,,오,오,미등장,없음,0,,64,62,54,52,66,건강,예교,묵수연구,2,정중남,정중남,0,,,고옹,고소,,3,철벽,견제,고무,,,,둔전,숲전,,,,,,,,1,1,,,,,
300,고소,1154,남,184,198,0,214,0,120,,,오,오,미등장,없음,0,,14,9,64,79,70,건강,예교,정령철저,3,정중남,정중남,0,,,고옹,고옹,,2,구축,,,,,,자비,명성,안목,허약,,,,,1,,,,,,,
301,호진,485,남,146,185,0,190,1,149,,,천수,천수,미등장,없음,0,,65,76,12,14,15,건강,아도,추행강화,3,난폭남,난폭남,0,,,호진,,,1,돌격,교란,,,,,분쇄,공명,격분,난폭,탐욕,,1,,,,,1,,,,
302,호제,603,남,207,223,0,264,0,76,,,신야,신야,미등장,없음,0,,58,40,68,72,66,건강,왕도,화계연구,3,용장남,용장남,0,,,호제,,,1,분전,업화,저지,,,,동지,우유,,,,,,1,1,,,,,,,
303,호종,1155,남,183,196,0,243,0,122,,,여남,여남,미등장,없음,0,,69,53,77,69,64,건강,예교,병기강화,3,책사남,책사남,0,,,호종,,,1,업화,도발,구축,,,,능리,모집,주란,,,,,,,1,,,1,,,
304,고담,486,남,205,219,0,246,0,120,,,오,오,미등장,없음,0,,33,23,69,77,75,건강,예교,태학,3,정중남,정중남,0,,,고옹,고소,,3,구축,,,,,,명경,능리,인맥,,,,,,,,1,,,,,
305,호충,604,남,225,243,0,286,0,118,,,여남,여남,미등장,없음,0,,20,18,58,71,62,건강,예교,태학,3,보통남,보통남,0,,,호종,호종,,2,,,,,,,사관,,,,,,,,,,,,,,1,
306,호주천,700,남,169,188,0,230,0,133,,,진양,진양,미등장,없음,0,,65,66,48,40,57,건강,할거,장사강화,2,거만남,거만남,0,,,어부라,,,1,돌격,제사,,,,,흉노,,,,,,1,,,,1,,,,,
307,올돌골,134,남,186,217,0,225,1,51,,,운남,운남,미등장,없음,0,,74,86,1,3,20,건강,아도,방원강화,4,난폭남,난폭남,0,,,올돌골,,,1,돌격,철벽,대갈,매성,,,남만,등갑,강건,저돌,단려,1,,,1,,1,,,,,
308,오돈,830,남,166,185,0,209,1,18,,,복양,복양,미등장,없음,0,,65,62,49,46,45,건강,패도,장사강화,2,호걸남,호걸남,0,,,오돈,,,1,급습,매성,,,,,산전,,,,,,,,,,1,,,,,
309,호반,334,남,179,198,0,233,0,76,,,복양,복양,미등장,없음,0,,55,55,58,50,61,건강,왕도,방원강화,2,정중남,정중남,0,,,호반,,,1,교란,업화,,,,,조달,,,,,,,,1,,,,,,,
310,오반,180,남,171,190,0,234,1,72,,,진류,진류,미등장,없음,0,,74,71,56,48,67,건강,할거,학익강화,3,보통남,보통남,0,,,오광,오광,,2,분전,견제,업화,,,,독려,교련,,,,1,,,,1,,,,,,
311,오범,1156,남,176,197,0,226,0,127,,,회계,회계,미등장,없음,0,,9,6,69,56,63,건강,예교,본초학,2,정중남,정중남,0,,,오범,,,1,,,,,,,점술,,,,,,,,,,,,1,,,
312,오부,1157,남,149,184,184,190,1,93,하진,하진,동관,동관,일반,사우종사,100,,42,46,53,55,60,건강,왕도,정령철저,2,위엄남,위엄남,0,,,오부,,,1,대갈,저지,,,,,법률,,,,,,,,,1,,,,1,,
313,호분,208,남,222,236,0,288,0,20,,,안정,안정,미등장,없음,0,,71,76,50,52,52,건강,왕도,군제개혁,3,위엄남,위엄남,0,,,호준,호준,,2,격려,경파,교란,투석,,,붕벽,산전,위무,잠재,,,,,1,,1,,,,1,
314,고옹,181,남,168,197,0,243,0,120,,,오,오,미등장,없음,0,,43,18,80,90,78,건강,예교,지역진흥,5,정중남,정중남,0,,,고옹,,,1,진정,정란,,,,,자비,명성,진흥,안목,여망,,,,1,,,,1,,,
315,오란,182,남,170,189,0,218,1,59,,,성도,성도,미등장,없음,0,,67,80,35,36,51,건강,패도,봉시강화,4,호걸남,호걸남,0,,,오란,,,1,돌격,매성,,,,,산전,저돌,직정,,,,1,,,,1,,,,,
316,호열,625,남,225,239,0,272,0,30,,,안정,안정,미등장,없음,0,,74,68,72,65,67,건강,왕도,화계연구,3,호걸남,호걸남,0,,,호준,호준,,2,연노,경파,업화,매성,,,붕벽,화공,공명,,,,,,,1,1,1,,,,
317,최염,464,남,162,184,0,216,1,20,,,평원,평원,미발견,없음,0,,18,55,70,83,76,건강,예교,호적정비,4,위엄남,위엄남,0,,,최염,,,1,대갈,치료,,,,,동지,명성,안목,,,,,,,1,,,,,1,
318,채염,569,여,168,184,0,234,0,22,,,오,오,미발견,없음,0,,12,11,76,80,85,건강,예교,태학,4,현명녀,현명녀,0,,,채옹,채옹,,2,치료,진정,,,,,재원,악주,시상,문화,교화,,,,,1,,1,,,,
319,채화,336,남,166,185,0,208,1,36,,,양양,양양,미등장,없음,0,,39,50,1,26,35,건강,명리,병참개혁,1,교활남,교활남,0,,,채모,,,1,구축,,,,,,소심,단려,,,,,,1,,,,,,,,
320,채훈,869,남,164,188,0,208,1,36,,,양양,양양,미등장,없음,0,,47,57,28,34,47,건강,명리,봉시강화,1,보통남,보통남,0,,,채모,,,1,강습,,,,,,공명,직정,경망,,,,1,,,,,,,,,
321,채씨,775,여,159,184,0,208,1,36,,,양양,양양,미발견,없음,0,,11,22,70,58,68,건강,명리,학익강화,3,요염녀,요염녀,0,,,채모,,,1,매성,,,,,,소침,탐욕,,,,,,,,1,,,,,,
322,최씨,1158,여,188,207,0,216,1,25,,,평원,평원,미등장,없음,0,,8,25,55,42,54,건강,명리,본초학,1,요염녀,요염녀,0,,,최염,,,2,,,,,,,낭비,,,,,,,,,1,,,,,,
323,최주평,835,남,167,207,0,226,0,85,,,남피,남피,미등장,없음,0,,12,6,68,70,66,건강,예교,병기강화,2,정중남,정중남,0,,,최주평,,,1,정란,,,,,,석병,소욕,,,,,,,,,,,1,1,,
324,채중,337,남,168,187,0,208,1,36,,,양양,양양,미등장,없음,0,,40,54,2,22,33,건강,명리,운반개발,1,교활남,교활남,0,,,채모,,,1,구축,,,,,,소심,단려,,,,,,1,,,,,,,,
325,채모,87,남,160,184,0,208,1,36,,,양양,양양,미발견,없음,0,,77,68,77,73,59,건강,명리,수군육성,4,거만남,거만남,0,,,채모,,,1,화시,매성,구축,시람,,,교사,조타,인맥,소심,동요,,,1,,1,,,,,,
326,최용,831,남,164,184,0,196,1,3,,,안정,안정,미발견,없음,0,,51,63,31,19,30,건강,할거,봉시강화,2,난폭남,난폭남,0,,,최용,,,1,대갈,,,,,,저돌,,,,,,1,,,,,,,,,
327,채옹,870,남,133,184,0,192,1,22,,,오,오,재야,없음,0,,22,12,86,82,87,건강,예교,태학,4,정중남,정중남,0,,,채옹,,,1,치료,진정,정란,,,,시상,명성,문화,사관,학자,,,,1,,,,1,,,
328,최림,792,남,177,196,0,244,0,22,,,평원,평원,미등장,없음,0,,32,22,66,78,76,건강,왕도,삼령오신,3,정중남,정중남,0,,,최염,,,1,고무,,,,,,진흥,안목,,,,,,1,,,,,,,,
329,좌혁,503,남,232,251,0,280,0,122,,,무릉,무릉,미등장,없음,0,,61,66,51,45,56,건강,왕도,병참개혁,2,보통남,보통남,0,,,좌혁,,,1,경파,구축,,,,,조달,,,,,,,,,1,,,,,,
330,착융,338,남,161,184,0,195,1,11,,,하비,하비,재야,없음,0,,61,68,40,21,14,건강,아도,침략황폐,2,교활남,교활남,0,,,착융,,,1,업화,강습,,,,,조달,강탈,징세,적도,탐욕,1,,,,,,,,,,
331,좌령,832,남,153,184,0,197,0,3,,,천수,천수,미발견,없음,0,,47,42,49,62,41,건강,명리,지역순회,2,난폭남,난폭남,0,,,좌령,,,1,,,,,,,공명,,,,,,1,,,,,,,,,
332,사일,701,남,153,184,184,229,1,139,사섭,사섭,교지,교지,일반,공조,120,,48,36,67,75,69,건강,예교,시설개발,3,정중남,정중남,0,,,사섭,,,1,제사,투석,구축,,,,교화,능리,특사,,,,,,,,1,,,,1,
333,사환,833,남,176,190,0,202,1,22,,,소패,소패,미등장,없음,0,,72,71,56,38,50,건강,패도,추행강화,3,용장남,용장남,0,,,사환,,,1,급습,업화,매성,,,,저돌,,,,,,1,,,,,1,,,,
334,사휘,702,남,165,184,184,226,1,144,사섭,사섭,교지,교지,일반,없음,120,,69,66,44,31,52,건강,아도,학익강화,3,거만남,거만남,0,,,사섭,사섭,,2,화시,매성,강습,,,,견뢰,공명,,,,,,,,1,1,,,,,
335,시의,1159,남,161,184,0,241,0,132,,,북해,북해,미발견,없음,0,,27,11,81,80,74,건강,왕도,정령철저,4,정중남,정중남,0,,,시의,,,1,도발,진정,구축,,,,법률,능리,소욕,우유,,,,1,,,,,,,,
336,사광,703,남,175,194,0,229,1,134,,,교지,교지,미등장,없음,0,,58,45,62,57,55,건강,예교,방원강화,2,보통남,보통남,0,,,사섭,사일,,2,저지,,,,,,우유,,,,,,,,1,,,,,,,
337,사흠,1160,남,161,184,184,230,0,134,사섭,사섭,교지,교지,일반,없음,120,,50,38,55,68,60,건강,예교,지역순회,2,보통남,보통남,0,,,사섭,사섭,,2,,,,,,,허약,,,,,,,,,,1,,,,,
338,시삭,626,남,226,245,0,268,0,129,,,건업,건업,미등장,없음,0,,38,65,45,21,50,건강,왕도,안행강화,2,보통남,보통남,0,,,시삭,,,1,제사,,,,,,절약,,,,,,,1,,,,,,,,
339,사찬,605,남,215,234,0,264,1,41,,,신야,신야,미등장,없음,0,,61,71,54,46,15,건강,명리,삼령오신,3,책사남,책사남,0,,,사찬,,,1,제사,경파,매성,,,,장구,공명,난폭,탐욕,,1,,,,,,,,,,
340,사지,705,남,163,184,184,226,1,146,사섭,사섭,교지,교지,일반,없음,120,,63,58,42,52,43,건강,할거,수군육성,2,보통남,보통남,0,,,사섭,사섭,,2,업화,구축,,,,,진흥,특사,,,,,,,,,1,,,,,
341,사섭,704,남,137,184,184,226,0,139,사섭,사섭,교지,교지,군주,없음,250,,53,31,78,90,89,건강,할거,선종외시,3,위엄남,위엄남,0,,,사섭,,,1,도남지익,고무,투석,구축,시람,,명경,명성,진흥,교화,인맥,,,,1,1,,,,,1,
342,사적,852,남,176,196,0,222,1,115,,,여강,여강,미등장,없음,0,,53,62,32,18,22,건강,패도,봉시강화,2,호걸남,호걸남,0,,,사적,,,1,경파,,,,,,저돌,,,,,,1,,,,,,,,,
343,사손서,1161,남,129,184,184,195,1,90,하진,하진,동관,동관,태수,별가종사,100,,24,13,65,73,67,건강,예교,종횡술,3,정중남,정중남,0,,,사손서,,,1,저지,도발,,,,,인맥,학자,,,,,,,1,,,,,,,
344,사마의,49,남,179,198,0,251,0,31,,,낙양,낙양,미등장,없음,0,,99,63,96,92,90,건강,패도,문사무비,2,위엄남,위엄남,88,,,사마의,,,1,신기묘산,제사,철벽,매성,진정,투석,허실,질주,지리,태연,신중,1,,,1,1,,1,,,1,
345,사마염,209,남,236,250,0,290,0,31,,,낙양,낙양,미등장,없음,0,,69,59,76,78,74,건강,패도,삼령오신,3,거만남,거만남,0,,,사마의,사마소,왕원희,3,제사,저지,매성,,,,사역,봉살,낭비,오만,탐욕,,,1,,1,,,,,,
346,사마사,88,남,208,222,0,255,0,31,,,낙양,낙양,미등장,없음,0,,79,64,88,84,81,건강,패도,군제개혁,4,거만남,거만남,93,,,사마의,사마의,장춘화,2,침의대략,견제,업화,충차,,,기략,사역,규율,간파,동원,1,,,,1,,,,1,,
347,사마지,1162,남,168,192,0,232,0,20,,,낙양,낙양,미등장,없음,0,,18,16,61,86,81,건강,왕도,지역진흥,4,정중남,정중남,0,,,사마의,,,1,고무,진정,,,,,독려,법률,농정,,,,,,1,,,,,,,
348,사마소,89,남,211,225,0,265,0,31,,,낙양,낙양,미등장,없음,0,,76,57,87,90,82,건강,패도,화계연구,4,위엄남,위엄남,94,,,사마의,사마의,장춘화,2,심모원려,화시,진정,정란,,,궤계,사역,침착,교사,신중,,,1,,1,,,1,,,
349,사마주,606,남,227,241,0,283,0,31,,,낙양,낙양,미등장,없음,0,,63,52,62,65,61,건강,명리,수군육성,2,정중남,정중남,0,,,사마의,사마의,,2,혼란,강습,시람,,,,신중,,,,,,,1,,,,,,,,
350,사마부,355,남,180,199,0,272,0,24,,,낙양,낙양,미등장,없음,0,,71,37,76,79,84,건강,왕도,세출개선,3,정중남,정중남,0,,,사마의,,,1,연노,고무,충차,,,,조달,자비,문화,,,,,,1,,,,,1,,
351,사마망,356,남,205,219,0,271,0,24,,,낙양,낙양,미등장,없음,0,,72,58,79,67,25,건강,명리,공법개혁,3,책사남,책사남,0,,,사마의,사마부,,2,저지,매성,,,,,석병,인맥,,,,,,,,,1,,,,1,
352,사마유,279,남,248,262,0,283,0,30,,,낙양,낙양,미등장,없음,0,,69,65,75,77,87,건강,왕도,지역진흥,4,정중남,정중남,0,,,사마의,사마소,왕원희,3,연노,업화,고무,,,,자비,명성,진흥,인정,소욕,,,1,,1,,,,1,,
353,사마랑,357,남,171,190,0,217,0,20,,,낙양,낙양,미등장,없음,0,,20,21,71,82,83,건강,예교,본초학,4,정중남,정중남,0,,,사마의,,,1,격려,치료,진정,,,,해독,자비,진흥,여망,,,,,1,,,,1,,,
354,사무,817,남,160,184,184,192,0,139,사섭,사섭,교지,교지,일반,주부,120,,45,42,57,68,66,건강,할거,삼령오신,2,보통남,보통남,0,,,사섭,,,1,,,,,,,허약,,,,,,,,1,,,,,,,
355,사원,1163,남,168,187,0,227,0,83,,,장안,장안,미등장,없음,0,,45,37,69,70,77,건강,예교,정령철저,3,보통남,보통남,0,,,사견,,,1,업화,,,,,,명성,,,,,,,,1,,,,,1,,
